Day,Start Hour,Impressions
Sunday,12 AM,75
Sunday,1 AM,53
Sunday,2 AM,31
Sunday,3 AM,29
Sunday,4 AM,22
Sunday,5 AM,33
Sunday,6 AM,47
Sunday,7 AM,76
Sunday,8 AM,124
Sunday,9 AM,94
Sunday,10 AM,94
Sunday,11 AM,121
Sunday,12 PM,92
Sunday,1 PM,80
Sunday,2 PM,152
Sunday,3 PM,195
Sunday,4 PM,108
Sunday,5 PM,58
Sunday,6 PM,97
Sunday,7 PM,47
Sunday,8 PM,51
Sunday,9 PM,73
Sunday,10 PM,82
Sunday,11 PM,7
Monday,12 AM,52
Monday,1 AM,25
Monday,2 AM,17
Monday,3 AM,16
Monday,4 AM,16
Monday,5 AM,18
Monday,6 AM,44
Monday,7 AM,62
Monday,8 AM,47
Monday,9 AM,23
Monday,10 AM,46
Monday,11 AM,66
Monday,12 PM,81
Monday,1 PM,124
Monday,2 PM,139
Monday,3 PM,132
Monday,4 PM,145
Monday,5 PM,140
Monday,6 PM,187
Monday,7 PM,232
Monday,8 PM,174
Monday,9 PM,111
Monday,10 PM,63
Monday,11 PM,23
Tuesday,12 AM,52
Tuesday,1 AM,24
Tuesday,2 AM,17
Tuesday,3 AM,16
Tuesday,4 AM,14
Tuesday,5 AM,17
Tuesday,6 AM,31
Tuesday,7 AM,49
Tuesday,8 AM,63
Tuesday,9 AM,72
Tuesday,10 AM,90
Tuesday,11 AM,84
Tuesday,12 PM,60
Tuesday,1 PM,91
Tuesday,2 PM,78
Tuesday,3 PM,211
Tuesday,4 PM,150
Tuesday,5 PM,83
Tuesday,6 PM,101
Tuesday,7 PM,102
Tuesday,8 PM,3
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,23
Wednesday,1 AM,21
Wednesday,2 AM,12
Wednesday,3 AM,3
Wednesday,4 AM,8
Wednesday,5 AM,14
Wednesday,6 AM,6
Wednesday,7 AM,27
Wednesday,8 AM,42
Wednesday,9 AM,37
Wednesday,10 AM,35
Wednesday,11 AM,41
Wednesday,12 PM,60
Wednesday,1 PM,37
Wednesday,2 PM,46
Wednesday,3 PM,83
Wednesday,4 PM,59
Wednesday,5 PM,79
Wednesday,6 PM,73
Wednesday,7 PM,96
Wednesday,8 PM,125
Wednesday,9 PM,114
Wednesday,10 PM,110
Wednesday,11 PM,27
Thursday,12 AM,20
Thursday,1 AM,18
Thursday,2 AM,22
Thursday,3 AM,14
Thursday,4 AM,28
Thursday,5 AM,17
Thursday,6 AM,24
Thursday,7 AM,50
Thursday,8 AM,25
Thursday,9 AM,37
Thursday,10 AM,56
Thursday,11 AM,91
Thursday,12 PM,92
Thursday,1 PM,40
Thursday,2 PM,49
Thursday,3 PM,60
Thursday,4 PM,79
Thursday,5 PM,66
Thursday,6 PM,62
Thursday,7 PM,98
Thursday,8 PM,120
Thursday,9 PM,103
Thursday,10 PM,62
Thursday,11 PM,65
Friday,12 AM,26
Friday,1 AM,15
Friday,2 AM,7
Friday,3 AM,19
Friday,4 AM,16
Friday,5 AM,21
Friday,6 AM,35
Friday,7 AM,77
Friday,8 AM,97
Friday,9 AM,59
Friday,10 AM,143
Friday,11 AM,167
Friday,12 PM,107
Friday,1 PM,119
Friday,2 PM,107
Friday,3 PM,84
Friday,4 PM,127
Friday,5 PM,135
Friday,6 PM,147
Friday,7 PM,149
Friday,8 PM,113
Friday,9 PM,79
Friday,10 PM,87
Friday,11 PM,50
Saturday,12 AM,65
Saturday,1 AM,46
Saturday,2 AM,25
Saturday,3 AM,30
Saturday,4 AM,33
Saturday,5 AM,43
Saturday,6 AM,59
Saturday,7 AM,85
Saturday,8 AM,94
Saturday,9 AM,117
Saturday,10 AM,92
Saturday,11 AM,87
Saturday,12 PM,101
Saturday,1 PM,173
Saturday,2 PM,240
Saturday,3 PM,201
Saturday,4 PM,159
Saturday,5 PM,141
Saturday,6 PM,180
Saturday,7 PM,197
Saturday,8 PM,230
Saturday,9 PM,249
Saturday,10 PM,7
Saturday,11 PM,0
