Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
for,$93.72,71,983,0.00,"(homes for sale near me, walnut homes for sale, houses for sale near me)"
for sale,$93.72,71,976,0.00,"(homes for sale near me, walnut homes for sale, houses for sale near me)"
homes,$107.43,70,706,0.00,"(homes for sale near me, walnut homes for sale, homes for sale)"
walnut,$124.18,82,508,0.00,"(walnut homes for sale, walnut new homes, walnut house for sale)"
ca,$57.52,38,349,0.00,"(new homes in walnut ca, house for sale in walnut ca, homes for sale in walnut ca)"
in,$62.58,43,275,0.00,"(new homes in walnut ca, house for sale in walnut ca, homes for sale in walnut ca)"
house for,$21.80,17,248,0.00,"(house for sale, house for sale near me, walnut house for sale)"
houses,$25.12,20,245,0.00,"(houses for sale near me, houses for sale, walnut houses for sale)"
near me,$9.93,8,191,0.00,"(homes for sale near me, houses for sale near me, house for sale near me)"
new,$75.37,46,162,0.00,"(walnut new homes, new homes in walnut ca, new homes for sale in walnut ca)"
upland,$7.89,6,87,0.00,"(upland california homes for sale, upland homes for sale, upland ca homes for sale)"
shawood,$3.09,2,52,0.00,"(shawood eastvale, shawood homes, shawood at magnolia ranch)"
pomona,$8.52,7,48,0.00,"(houses in pomona for sale, houses for sale pomona, house for sale pomona)"
chino hills,$1.72,2,43,0.00,"(trumark homes chino hills, new homes chino hills, homes for sale chino hills)"
eastvale,$4.75,3,37,0.00,"(shawood eastvale, shawood homes eastvale ca, eastvale homes for sale)"
claremont,$0.00,0,35,0.00,"(claremont houses for sale, homes for sale claremont ca, claremont homes for sale)"
home,$5.42,4,35,0.00,"(home for sale, home for sale walnut ca, walnut new home)"
diamond bar,$2.84,3,32,0.00,"(diamond bar homes for sale, new homes for sale in diamond bar ca, homes for sale diamond bar)"
west covina,$1.75,1,30,0.00,"(homes in west covina for sale, west covina houses for sale, homes for sale in west covina ca)"
trumark homes,$1.72,2,27,0.00,"(trumark homes chino hills, trumark homes)"
california,$3.98,3,23,0.00,"(upland california homes for sale, walnut california)"
at,$6.08,4,22,0.00,"(the terraces at walnut prices, shawood at magnolia ranch, terrace at walnut)"
next gen,$2.47,2,19,0.00,"(next gen homes near me, next gen homes)"
glendora,$1.17,1,15,0.00,"(house for sale glendora, houses for sale in glendora)"
redfin,$0.00,0,15,0.00,(redfin walnut ca)
ranch,$3.13,1,15,0.00,"(ontario ranch homes for sale, shawood at magnolia ranch)"
single story,$0.00,0,15,0.00,"(single story homes for sale near me, single story homes for sale)"
ontario,$3.13,1,14,0.00,"(ontario ranch homes for sale, homes for sale ontario)"
rancho cucamonga,$2.57,2,14,0.00,"(homes for sale in rancho cucamonga, house for sale rancho cucamonga)"
en venta,$5.00,3,13,0.00,"(casas en venta, casa en venta cerca de mi)"
5 bedroom,$0.00,0,12,0.00,"(5 bedroom homes near me, 5 bedroom house for sale)"
fullerton,$0.00,0,11,0.00,(house for sale fullerton ca)
apartments,$1.30,1,11,0.00,(apartments in walnut ca)
rowland,$3.21,2,11,0.00,(rowland heights homes for sale)
heights,$3.21,2,11,0.00,(rowland heights homes for sale)
dimas,$1.76,1,10,0.00,(san dimas homes for sale)
san,$1.76,1,10,0.00,(san dimas homes for sale)
91789,$0.00,0,9,0.00,(homes for sale in walnut ca 91789)
terraces,$2.56,2,8,0.00,(the terraces at walnut prices)
las,$8.51,4,8,0.00,(las vistas walnut)
construction,$2.54,2,8,0.00,(walnut new construction)
prices,$2.56,2,8,0.00,(the terraces at walnut prices)
vistas,$8.51,4,8,0.00,(las vistas walnut)
cbc,$0.00,0,8,0.00,(cbc homes walnut ca)
the,$2.56,2,8,0.00,(the terraces at walnut prices)
county,$0.00,0,7,0.00,(orange county houses)
rent,$0.00,0,7,0.00,(walnut homes for rent)
rosedale,$0.00,0,7,0.00,(homes for sale in rosedale azusa ca)
magnolia,$0.00,0,7,0.00,(shawood at magnolia ranch)
azusa,$0.00,0,7,0.00,(homes for sale in rosedale azusa ca)
terrace,$3.52,2,7,0.00,(terrace at walnut)
casas,$1.85,1,7,0.00,(casas en venta)
orange,$0.00,0,7,0.00,(orange county houses)
irvine,$0.00,0,7,0.00,(irvine homes for sale)
de,$3.15,2,6,0.00,(casa en venta cerca de mi)
casa,$3.15,2,6,0.00,(casa en venta cerca de mi)
cerca,$3.15,2,6,0.00,(casa en venta cerca de mi)
dr,$0.00,0,6,0.00,(dr horton homes)
mi,$3.15,2,6,0.00,(casa en venta cerca de mi)
horton,$0.00,0,6,0.00,(dr horton homes)
century,$0.00,0,6,0.00,(century communities)
communities,$0.00,0,6,0.00,(century communities)
